2015-09-24  14:57:04 INFO  com.lv.spider.Test 49 printf - 贴吧 - http://tieba.baidu.com/
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 新闻 - http://news.baidu.com/ns?cl=2&rn=20&tn=news&
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 网页 - http://www.baidu.com/s?cl=3&
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 知道 - http://zhidao.baidu.com/q?ct=17&pn=0&tn=ikaslist&rn=10&
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 音乐 - http://music.baidu.com/search?fr=tieba&
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 图片 - http://image.baidu.com/i?tn=baiduimage&ct=201326592&lm=-1&cl=2&
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 视频 - http://v.baidu.com/v?ct=301989888&rn=20&pn=0&db=0&s=21&
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 地图 - http://map.baidu.com/m?fr=map006&
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 百科 - http://baike.baidu.com/
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 文库 - http://wenku.baidu.com/search?fr=tieba&lm=0&od=0&
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 高级搜索 - http://tieba.baidu.com/f/search/adv
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 游戏直播 - http://tieba.baidu.com/%E6%B8%B8%E6%88%8F%E7%9B%B4%E6%92%AD
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - LPL夏季赛 - http://tieba.baidu.com/f?kw=竞技游戏&ie=utf-8
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 英雄联盟 - http://tieba.baidu.com/show/zhanqi/roomList?tag_id=6
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - Dota2 - http://tieba.baidu.com/show/zhanqi/roomList?tag_id=10
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 炉石传说 - http://tieba.baidu.com/show/zhanqi/roomList?tag_id=9
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 单机游戏 - http://tieba.baidu.com/show/zhanqi/roomList?tag_id=49
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 美女直播 - http://tieba.baidu.com/f?kw=%D0%E3
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 直播中 1121人观看女开 亲斤 - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=102&t=2&roomId=924609
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 直播中 1614人观看混血☆时光里的小梨子 - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=102&t=2&roomId=927191
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 直播中 2185人观看嘉儿*黑桃King - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=102&t=2&roomId=925667
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 直播中 1498人观看Eva - 依依 - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=102&t=2&roomId=925770
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 直播中 2397人观看CK海伦ゞ - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=102&t=2&roomId=914926
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 直播中 866人观看天依 baby - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=102&t=2&roomId=914696
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 美女现场 - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=55&t=2
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 清纯萌妹 - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=126&t=2
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 黑丝诱惑 - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=127&t=2
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 激情派对 - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=128&t=2
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 劲歌热舞 - http://spread.xiu8.com/spreed!baiduGo.jspa?pid=1072&sid=129&t=2
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 粉丝节壕礼提前送，来和熊孩子一起嗨！ - http://tieba.baidu.com/p/4058388848?come_from=index
2015-09-24  14:57:10 INFO  com.lv.spider.Test 82 addlog - 【聚智堂】开吧抽奖感恩回馈奖品任性发 - http://tieba.baidu.com/p/4056019850?come_from=index
